7zip 24.09-3
libid3tag 0.16.3-2
libkate 0.4.1-11
libnotify 0.8.3-1
liboauth 1:1.0.3+r16+gc26f038-2
libopenraw 0.3.7-2
libportal-gtk3 0.8.1-1
libportal-qt5 0.8.1-1
libportal-qt6 0.8.1-1
libraw 0.21.3-1
libspectre 0.2.12-2
libtiger 0.3.4-8
libultrahdr 1.3.0-1
libvoikko 4.3.2-4
libwmf 0.2.13-4
libyaml 0.2.5-3
libzip 1.11.2-1
linux 6.12.6.arch1-1
linux-firmware 20241210.b00a7f7e-1
linux-firmware-whence 20241210.b00a7f7e-1
linux-headers 6.12.6.arch1-1
lirc 1:0.10.2-5
live-media 2024.04.19-1
logrotate 3.22.0-1
lrzip 0.651-3
lsd 1.1.5-1
lttng-ust2.12 2.12.9-1
lua 5.4.7-1
lua-socket 1:3.1.0-1
lua51 5.1.5-12
lutris 0.5.18-2
lvm2 2.03.29-1
lzop 1.04-4
man-db 2.13.0-1
man-pages 6.9.1-1
mate-polkit 1.28.1-2
mathjax2 2.7.9-2
maven 3.9.9-1
mcpp 2.7.2.1-1
meson 1.6.1-1
moc-pulse 2.5.2-14.3
mpv 1:0.39.0-4
mpv-mpris 1.1-3
mtools 1:4.0.46-1
mypy 1.14.0-1
nano 8.2-1
ncdu 2.7-1
nemo 6.4.3-1
nemo-audio-tab 6.4.0-2
nemo-fileroller 6.4.0-2
nemo-preview 6.4.0-2
nemo-python 6.4.0-2
nemo-seahorse 6.4.0-2
neovim 0.10.3-1
net-tools 2.10-3
network-manager-applet 1.36.0-1
networkmanager 1.50.1-1
nm-connection-editor 1.36.0-1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2024.12.01-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2024.12.01-1
npm 11.0.0-1
ntfs-3g 2022.10.3-1
nuspell 5.1.6-1
odt2txt 0.5-6
onetbb 2022.0.0-2
onlyoffice-bin 8.2.2-1
opengl-man-pages 20240713-1
openjdk21-doc 21.0.5.u11-1
openjdk21-src 21.0.5.u11-1
openmp 18.1.8-1
openmpi 5.0.6-2
openssh 9.9p1-2
os-prober 1.81-2
otf-aurulent-nerd 3.3.0-1
otf-codenewroman-nerd 3.3.0-1
otf-comicshanns-nerd 3.3.0-1
otf-commit-mono-nerd 3.3.0-1
otf-droid-nerd 3.3.0-1
otf-firamono-nerd 3.3.0-1
otf-font-awesome 6.7.2-1
otf-geist-mono-nerd 3.3.0-1
otf-hasklig-nerd 3.3.0-1
otf-hermit-nerd 3.3.0-1
otf-monaspace-nerd 3.3.0-1
otf-opendyslexic-nerd 3.3.0-1
otf-overpass-nerd 3.3.0-1
packettracer 8.2.2-1
pandoc-cli 3.1.11.1-14
papirus-icon-theme 20240501-1
pavucontrol 1:6.1-1
perl-cpanel-json-xs 4.38-2
perl-io-socket-ssl 2.089-1
pipewire-alsa 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pipewire-v4l2 1:1.2.7-1
pkgfile 22-1
pkgstats 3.3.1-1
plasma-activities-stats 6.2.4-1
plymouth 24.004.60-9
